"Seller Dashboard","Seller Dashboard"
January,January
February,February
March,March
April,April
May,May
June,June
July,July
August,August
September,September
October,October
November,November
December,December
Day,Day
Month,Month
Year,Year
Sale,Sale
"Product approved","Product approved"
"Product disapproved","Product disapproved"
". '</span>'",". '</span>'"
"Order placed notification","Order placed notification"
"Do You Want To Make This Customer As Seller ?","Do You Want To Make This Customer As Seller ?"
"Shop Url","Shop Url"
"Approve Seller","Approve Seller"
"Assign Category","Assign Category"
Commission,Commission
"Commission Details","Commission Details"
"Change Commission","Change Commission"
"Set Commission In Percentage For This Seller","Set Commission In Percentage For This Seller"
"Payment Information","Payment Information"
"Do You Want To Remove This Seller ?","Do You Want To Remove This Seller ?"
"Check To Unapprove Seller","Check To Unapprove Seller"
ID,ID
Created,Created
Name,Name
Email,Email
"Flag Reason","Flag Reason"
"Flag Date","Flag Date"
"Product Name","Product Name"
"Product SKU","Product SKU"
"Product Price","Product Price"
"Product Assignment","Product Assignment"
"Seller Account Information","Seller Account Information"
"Seller Profile Information","Seller Profile Information"
"Admin Store","Admin Store"
"Admin Store View","Admin Store View"
"Select Store","Select Store"
"Twitter ID","Twitter ID"
"Allow to Display Twitter Icon in Profile Page","Allow to Display Twitter Icon in Profile Page"
"Facebook ID","Facebook ID"
"Allow to Display Facebook Icon in Profile Page","Allow to Display Facebook Icon in Profile Page"
"Instagram ID","Instagram ID"
"Allow to Display Instagram Icon in Profile Page","Allow to Display Instagram Icon in Profile Page"
"Google+ ID","Google+ ID"
"Allow to Display Google+ Icon in Profile Page","Allow to Display Google+ Icon in Profile Page"
"Youtube ID","Youtube ID"
"Allow to Display Youtube Icon in Profile Page","Allow to Display Youtube Icon in Profile Page"
"Vimeo ID","Vimeo ID"
"Allow to Display Vimeo Icon in Profile Page","Allow to Display Vimeo Icon in Profile Page"
"Pinterest ID","Pinterest ID"
"Allow to Display Pinterest Icon in Profile Page","Allow to Display Pinterest Icon in Profile Page"
"Moleskine ID","Moleskine ID"
"Allow to Display Moleskine Icon in Profile Page","Allow to Display Moleskine Icon in Profile Page"
"Contact Number","Contact Number"
"Tax/VAT Number","Tax/VAT Number"
"Shop Title","Shop Title"
"Company Locality","Company Locality"
"Select Country","Select Country"
"Company Description","Company Description"
"Return Policy","Return Policy"
"Shipping Policy","Shipping Policy"
"Privacy Policy","Privacy Policy"
"Meta Keywords","Meta Keywords"
"Meta Description","Meta Description"
"Company Banner","Company Banner"
"Company Logo","Company Logo"
Flags,Flags
Back,Back
"Delete Reason","Delete Reason"
"Are you sure you want to do this?","Are you sure you want to do this?"
"Save and Continue Edit","Save and Continue Edit"
"Save Reason","Save Reason"
"Marketplace Seller Collection","Marketplace Seller Collection"
"Marketplace Seller Feedback","Marketplace Seller Feedback"
"Marketplace Seller Location","Marketplace Seller Location"
"My Orders","My Orders"
Subtotal,Subtotal
Discount,Discount
"Total Tax","Total Tax"
"Shipping & Handling","Shipping & Handling"
"Adjustment Refund","Adjustment Refund"
"Adjustment Fee","Adjustment Fee"
"Grand Total","Grand Total"
"Total COD Charges","Total COD Charges"
"Total Ordered Amount","Total Ordered Amount"
"Total Ordered Amount(in base currency)","Total Ordered Amount(in base currency)"
"Total Vendor Amount","Total Vendor Amount"
"Total Vendor Amount(in base currency)","Total Vendor Amount(in base currency)"
"Total Admin Commission","Total Admin Commission"
"Total Admin Commission(in base currency)","Total Admin Commission(in base currency)"
"View Order Detail","View Order Detail"
"Items Ordered","Items Ordered"
Invoices,Invoices
Shipments,Shipments
Refunds,Refunds
"Custom Value","Custom Value"
"View Product","View Product"
"View Order","View Order"
"Order #%1 is %2.","Order #%1 is %2."
"View Transaction","View Transaction"
"View Review","View Review"
"Marketplace Seller Privacy Policy","Marketplace Seller Privacy Policy"
" 's Privacy Policy"," 's Privacy Policy"
"All Files","All Files"
"YouTube and Vimeo supported.","YouTube and Vimeo supported."
"Vimeo supported.<br />To add YouTube video, please ask admin to set YouTube API Key first.","Vimeo supported.<br />To add YouTube video, please ask admin to set YouTube API Key first."
"My Product List","My Product List"
"Attribute Values","Attribute Values"
"Bulk Images &amp; Price","Bulk Images &amp; Price"
"Select Attributes","Select Attributes"
Summary,Summary
"Marketplace Seller Profile","Marketplace Seller Profile"
"My Transactions","My Transactions"
"Become Seller","Become Seller"
"Congratulations! Your seller account is created.","Congratulations! Your seller account is created."
"Your request to become seller is successfully raised.","Your request to become seller is successfully raised."
"Please confirm that you want to become seller.","Please confirm that you want to become seller."
"Shop URL already exist please set another.","Shop URL already exist please set another."
"Marketplace Customers","Marketplace Customers"
"Marketplace Seller Dashboard","Marketplace Seller Dashboard"
"invalid request","invalid request"
"see error log for details","see error log for details"
"Service unavailable: %1","Service unavailable: %1"
Earnings,Earnings
"Marketplace Seller Profile Page","Marketplace Seller Profile Page"
"Profile information was successfully saved","Profile information was successfully saved"
"We can't save the customer.","We can't save the customer."
"Twitter Id cannot contain space and special characters, allowed special characters are @,#,_,-","Twitter Id cannot contain space and special characters, allowed special characters are @,#,_,-"
"Facebook Id cannot contain space and special characters, allowed special characters are @,#,_,-","Facebook Id cannot contain space and special characters, allowed special characters are @,#,_,-"
"Instagram ID cannot contain space and special characters, allowed special characters are @,#,_,-","Instagram ID cannot contain space and special characters, allowed special characters are @,#,_,-"
"Google Plus ID cannot contain space and special characters, allowed special characters are @,#,_,-","Google Plus ID cannot contain space and special characters, allowed special characters are @,#,_,-"
"Youtube ID cannot contain space and special characters, allowed special characters are @,#,_,-","Youtube ID cannot contain space and special characters, allowed special characters are @,#,_,-"
"Vimeo ID cannot contain space and special characters, allowed special characters are @,#,_,-","Vimeo ID cannot contain space and special characters, allowed special characters are @,#,_,-"
"Pinterest ID cannot contain space and special characters, allowed special characters are @,#,_,-","Pinterest ID cannot contain space and special characters, allowed special characters are @,#,_,-"
